product;url;measurement;quantity
pan_frances;https://diaonline.supermercadosdia.com.ar/pan-flauta-x-un-259352/p;kg;1
galletitas_dulces;https://diaonline.supermercadosdia.com.ar/bizcochos-9-de-oro-agridulces-200-gr-58649/p;kg;0.2
galletitas_de_agua;https://diaonline.supermercadosdia.com.ar/galletitas-crackers-clasicas-cuquets-330-gr-133971/p;kg;0.33
harina_de_trigo;https://diaonline.supermercadosdia.com.ar/harina-de-trigo-fotivac-morixe-000-1-kg-283565/p;kg;1
harina_de_maiz;https://diaonline.supermercadosdia.com.ar/polenta-coccion-rapida-dia-500-gr-264675/p;kg;0.5
arroz;https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-ala-1kg-25417/p;kg;1
fideos_secos;https://diaonline.supermercadosdia.com.ar/fideos-spaguetti-la-providencia-500-gr-147293/p;kg;1
asado;https://diaonline.supermercadosdia.com.ar/asado-envasado-al-vacio-x-1-kg-217078/p;kg;1
carnaza_comun; - ;kg;1
hueso_con_carne; - ;kg;1
paleta;https://diaonline.supermercadosdia.com.ar/paleta-de-churrasco-x-kg-724165/p;kg;1
carne_picada;https://diaonline.supermercadosdia.com.ar/carne-picada-comun-atmosfera-modificada-600-gr-225677/p;kg;0.6
nalga;https://diaonline.supermercadosdia.com.ar/tapa-de-nalga-carnes-de-la-estancia-envasado-al-vacio-x-1-kg-150250/p;kg;1
higado; - ;kg;1
pechito_de_cerdo;https://diaonline.supermercadosdia.com.ar/pechito-de-cerdo-al-vacio-x-kg-123969/p;kg;1
pollo;https://diaonline.supermercadosdia.com.ar/pollo-fresco-x-1-kg-90150/p;kg;1
carne_de_pescado;-;kg;1
mortadela;https://diaonline.supermercadosdia.com.ar/mortadela-feteada-lario-150-gr-270904/p;kg;0.15
paleta_cocida;https://diaonline.supermercadosdia.com.ar/paleta-cocida-paladini-feteado-fino-200-gr-273197/p;kg;0.2
salchich¢n;https://diaonline.supermercadosdia.com.ar/salchichon-primavera-lario-300-gr-75214/p;kg;0.3
salame;https://diaonline.supermercadosdia.com.ar/salame-feteado-lario-milan-150-gr-270906/p;kg;0.15
aceite_de_girasol;https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-900-ml-56453/p;l;0.9
margarina_para_cocinar;https://diaonline.supermercadosdia.com.ar/manteca-la-serenisima-200-gr-14938/p;kg;0.2
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-fresca-entera-3--fortificada-casanto-sachet-1-lt-288868/p;l;1
leche_en_polvo_entera;https://diaonline.supermercadosdia.com.ar/la-lechera-nutrifuerza-x-800-gr-169108/p;kg;0.8
queso_crema;https://diaonline.supermercadosdia.com.ar/queso-blanco-light-la-serenisima-clasico-290-gr-298774/p;kg;0.29
queso_cuartirolo;https://diaonline.supermercadosdia.com.ar/queso-cremoso-dia-x-kg-297684/p;kg;1
queso_de_rallar;https://diaonline.supermercadosdia.com.ar/queso-rallado-dia-150-gr-24449/p;kg;0.15
manteca;https://diaonline.supermercadosdia.com.ar/manteca-la-serenisima-200-gr-14938/p;kg;0.2
yogur;https://diaonline.supermercadosdia.com.ar/yogur-entero-bebible-milkaut-vainilla-0--lactosa-1-kg-279028/p;kg;1
dulce_de_leche;https://diaonline.supermercadosdia.com.ar/dulce-de-leche-milkaut-400-gr-297589/p;kg;0.4
huevo;https://diaonline.supermercadosdia.com.ar/huevo-blanco-grande-12-ud-48133/p;unit;12
manzana;https://diaonline.supermercadosdia.com.ar/manzana-roja-comercial-en-bolsa-malla-x-1-kg-90111/p;kg;1
naranja;https://diaonline.supermercadosdia.com.ar/naranja-ombligo-x-1-kg-90118/p;kg;1
banana;https://diaonline.supermercadosdia.com.ar/banana-x-1-kg-90110/p;kg;1
mandarina;https://diaonline.supermercadosdia.com.ar/mandarina-x-1-kg-90119/p;kg;1
pera;https://diaonline.supermercadosdia.com.ar/pera-x-1-kg-90113/p;kg;1
batata;https://diaonline.supermercadosdia.com.ar/batata-x-1-kg-90062/p;kg;1
papa;https://diaonline.supermercadosdia.com.ar/papa-comercial-en-bolsa-malla-x-1-kg-90061/p;kg;1
acelga;https://diaonline.supermercadosdia.com.ar/acelga-x-1-kg-90134/p;kg;1
cebolla;https://diaonline.supermercadosdia.com.ar/cebolla-elegida-premium-x-1-kg-90141/p;kg;1
choclo;https://diaonline.supermercadosdia.com.ar/choclo-en-bandeja-1-un-90413/p;kg;1
lechuga;https://diaonline.supermercadosdia.com.ar/lechuga-capuchina-x-1-kg-90079/p;kg;1
tomate_perita;https://diaonline.supermercadosdia.com.ar/tomate-perita-x-1-kg-90074/p;kg;1
zanahoria;https://diaonline.supermercadosdia.com.ar/zanahoria-x-1-kg-90122/p;kg;1
zapallo;https://diaonline.supermercadosdia.com.ar/anco-x-1-kg-90120/p;kg;1
tomate_envasado;https://diaonline.supermercadosdia.com.ar/tomate-perita-pelado-dia-400-gr-34596/p;kg;0.4
arvejas_en_lata;https://diaonline.supermercadosdia.com.ar/arvejas-secas-remojadas-dia-300-gr-279121/p;kg;0.3
lentejas_secas;https://diaonline.supermercadosdia.com.ar/lentejas-secas-remojadas-dia-300-gr-279126/p;kg;0.3
azucar;https://diaonline.supermercadosdia.com.ar/azucar-ledesma-refinado-superior-1-kg-129208/p;kg;1
dulce_de_batata;https://diaonline.supermercadosdia.com.ar/dulce-de-batata-el-guri-500-gr-300847/p;kg;0.5
