product;name
pan_frances;Pan Francés
galletitas_dulces;Galletitas Dulces
galletitas_de_agua;Galletitas de Agua
harina_de_trigo;Harina de Trigo
harina_de_maiz;Harina de Maíz
arroz;Arroz
fideos_secos;Fideos Secos
asado;Asado
carnaza_comun;Carnaza Común
hueso_con_carne;Hueso con Carne
paleta;Paleta
carne_picada;Carne Picada
nalga;Nalga
higado;Hígado
pechito_de_cerdo;Pechito de Cerdo
pollo;Pollo
carne_de_pescado;Carne de Pescado
mortadela;Mortadela
paleta_cocida;Paleta Cocida
salchich¢n;Salchichón
salame;Salame
aceite_de_girasol;Aceite de Girasol
margarina_para_cocinar;Margarina para Cocinar
leche_fluida;Leche Fluida
leche_en_polvo_entera;Leche en Polvo Entera
queso_crema;Queso Crema
queso_cuartirolo;Queso Cuartirolo
queso_de_rallar;Queso de Rallar
manteca;Manteca
yogur;Yogur
dulce_de_leche;Dulce de Leche
huevo;Huevo
manzana;Manzana
naranja;Naranja
banana;Banana
mandarina;Mandarina
pera;Pera
batata;Batata
papa;Papa
acelga;Acelga
cebolla;Cebolla
choclo;Choclo
lechuga;Lechuga
tomate_perita;Tomate Perita
zanahoria;Zanahoria
zapallo;Zapallo
tomate_envasado;Tomate Envasado
arvejas_en_lata;Arvejas en Lata
lentejas_secas;Lentejas Secas
azucar;Azúcar
dulce_de_batata;Dulce de Batata
mermelada;Mermelada
sal_fina;Sal Fina
mayonesa;Mayonesa
vinagre;Vinagre
caldo_concentrado;Caldo Concentrado
gaseosas;Gaseosas
jugos_concentrados;Jugos Concentrados
soda;Soda
cerveza;Cerveza
vino;Vino
cafe;Café
yerba;Yerba
te_en_saquitos;Té en Saquitos
