producto;cantidad_g_ml;url;tipo_producto;porcion
Pan Frances;6,75;https://www.carrefour.com.ar/mini-baguette-clasica-x-uni-545133/p;kilo;
Galletitas dulces;210;https://www.carrefour.com.ar/bizcochos-9-de-oro-agridulces-200-g/p;unidad;
Galletitas de agua;420;https://www.carrefour.com.ar/galletitas-mediatarde-clasicas-105-g-x-3-uni-697573/p;unidad;
Harina de trigo;1,08;https://www.carrefour.com.ar/harina-de-trigo-000-favorita-con-vitaminas-1-kg-732147/p;kilo;
Harina de maiz;500;https://www.carrefour.com.ar/polenta-instantanea-egran-bolsa-x-500-grs-383999/p;kilo;0.5
Arroz;1000;https://www.carrefour.com.ar/arroz-largo-fino-00000-gallo-en-bolsa-500-g-733189/p;kilo;0.5
Fideos secos;500;https://www.carrefour.com.ar/fideos-tallarines-n7-terrabusi-500-g-729392/p;kilo;0.5
Asado;1000;https://www.carrefour.com.ar/asado-bulnez-x-kg-6631/p;kilo;1
Carnaza comun;1000;https://www.carrefour.com.ar/carnaza-comun-bulnez-x-kg-674622/p;kilo;1
Hueso con carne;390;;unidad;0.39
Paleta;1000;https://www.carrefour.com.ar/paleta-x-kg-662849/p;kilo;1
Carne picada;1000;https://www.carrefour.com.ar/carne-picada-bulnez-x-kg-678596/p;kilo;1
Nalga;1000;https://www.carrefour.com.ar/nalga-entera-x-kg-678583/p;kilo;1
Higado;1000;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-higado-x-kg/_/A-00000029-00000029-200;kilo;1
Pechito de cerdo;1000;https://www.carrefour.com.ar/pechito-con-manta-congelado-completo-x-kg-691389/p;kilo;1
Pollo;1000;https://www.carrefour.com.ar/pollo-entero-congelado-x-kg-699692/p;kilo;1
Carne de pescado;180;;unidad;0.18
Mortadela;1000;https://www.carrefour.com.ar/mortadela-200-g-bajo-precio-garantizado-681928/p;kilo;
Paleta cocida;1000;https://www.carrefour.com.ar/paleta-cocida-paladini-cristal-x-kg/p;kilo;1
Salchich¢n;1000;https://www.carrefour.com.ar/salchichon-con-jamon-champion-x-kg/p;kilo;1
Salame;150;https://www.carrefour.com.ar/salame-mil-n-picado-fino-feteado-lario-x-150-grs/p;kilo;0.15
Aceite de girasol;0.9;https://www.carrefour.com.ar/aceite-de-girasol-legitimo-900-cc-700951/p;kilo;0.9
Margarina para cocinar;-;https://www.carrefour.com.ar/margarina-en-pan-danica-clasica-200-g-726170/p;unidad;
Leche fluida;1;https://www.carrefour.com.ar/leche-entera-casanto-3-ultra-para-sachet-1-l-703955/p;kilo;
Leche en polvo entera;1;https://www.carrefour.com.ar/leche-en-polvo-la-lechera-entera-800-g-721597/p;unidad;
Queso crema;80;https://www.carrefour.com.ar/queso-crema-la-serenisima-light-en-pote-290-g-726377/p;unidad;0.3
Queso cuartirolo;1000;https://www.carrefour.com.ar/queso-cremoso-la-paulina-x-kg-647989/p;kilo;1
Queso de rallar;1000;https://www.carrefour.com.ar/reggianito-sbrinz-horma-la-paulina-x-kg-680155/p;kilo;
Manteca;200;https://www.carrefour.com.ar/manteca-classic-calidad-extra-200-g/p;unidad;0.2
Yogur;1000;https://www.carrefour.com.ar/yogur-descremado-milkaut-de-vainilla-en-sachet-900-g-719267/p;kilo;1
Dulce de leche;400;https://www.carrefour.com.ar/dulce-de-leche-clasico-la-serenisima-400-g/p;kilo;0.4
Huevo;600;https://www.carrefour.com.ar/huevos-blancos-medianos-granja-almeyra-maple-30-uni-702205/p;unidad;
Manzana;1000;https://www.carrefour.com.ar/manzana-red-x-kg-432782/p;kilo;1
Mandarina;1000;https://www.carrefour.com.ar/mandarina-x-kg/p;kilo;1
Naranja;1000;https://www.carrefour.com.ar/naranja-de-jugo-x-kg-8314/p;kilo;1
Banana;1000;https://www.carrefour.com.ar/banana-nacional-x-kg/p;kilo;1
Pera;1000;https://www.carrefour.com.ar/pera-x-kg/p;kilo;1
Batata;1000;https://www.carrefour.com.ar/batata-x-kg/p;kilo;1
Papa;1000;https://www.carrefour.com.ar/batata-x-kg/p;kilo;1
Acelga;1000;https://www.carrefour.com.ar/acelga-x-paquete/p;kilo;1
Cebolla;1000;https://www.carrefour.com.ar/cebolla-blanca-x-kg/p;kilo;1
Choclo;1000;https://www.carrefour.com.ar/choclo-en-chala-x-kg-735021/p;kilo;
Lechuga;1000;https://www.carrefour.com.ar/lechuga-capuchina-x-kg/p;kilo;1
Tomate perita;1,44;;kilo;1.44
Zanahoria;1000;https://www.carrefour.com.ar/zanahoria-precios-cuidados-x-kg/p;kilo;1
Zapallo;1000;https://www.carrefour.com.ar/zapallo-anco-x-kg/p;kilo;1
Tomate envasado;400;https://www.carrefour.com.ar/tomate-perita-pelado-alco-400-g/p;kilo;0.4
Arvejas en lata;300;https://www.carrefour.com.ar/arvejas-secas-remojadas-la-campagnola-300-g-702053/p;kilo;0.3
Lentejas secas;400;https://www.carrefour.com.ar/lentejas-secas-doroteo-400-g/p;kilo;0.400
Azucar;1000;https://www.carrefour.com.ar/azucar-comun-tipo-a-bella-vista-1-kg-421740/p;kilo;1
Dulce de batata;500;https://www.carrefour.com.ar/dulce-de-batata-emeth-con-chocolate-500-g/p;kilo;0.500
Mermelada;390;https://www.carrefour.com.ar/mermelada-de-ciruela-light-carrefour-390-g/p;kilo;0.390
Sal fina;500;https://www.carrefour.com.ar/sal-fina-dos-anclas-500-g-3172/p;kilo;0.5
Mayonesa;950;https://www.carrefour.com.ar/mayonesa-clasica-hellmann-s-sin-tacc-doypack-950-g-694756/p;kilo;0.95
Vinagre;960;https://www.carrefour.com.ar/vinagre-de-alcohol-silva-linea-gourmet-960-cc/p;kilo;0.960
Caldo concentrado;114;https://www.carrefour.com.ar/caldo-maggi-sabor-carne-114-g-692993/p;kilo;0.11
